A!NET_NAME!PIN_NUMBER_SORT!CLASS!REFDES!SYM_TYPE!SYM_NAME!SYM_X!SYM_Y!SYM_ROTATE!SYM_MIRROR!PIN_NAME!PIN_NUMBER!PIN_X!PIN_Y!PIN_EDITED!PAD_STACK_NAME!VIA_X!VIA_Y!PIN_ROTATION!TEST_POINT!NET_PROBE_NUMBER!
J!E:/design/ROHM/13_Archange-BU90004GWZ-E2EVK-101/working/20140212/gerber/extracta/163/BU90004GWZ-E2EVK-101_BRD_REV00_2014-02-12.brd!Wed Feb 12 16:27:52 2014!-17655.559!-26982.181!36344.441!18819.189!0.001!mils!BU90004GWZ-E2EVK-101_SCH_REV00_2014-02-12!62.000000 mil!2!UP TO DATE!
S!VOUT!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!940.000!1095.000!!!!
S!VOUT!!VIA CLASS!!!!!!!!!!!!!VIA40D20!1450.000!1095.000!!!!
S!VOUT!!VIA CLASS!!!!!!!!!!!!!VIA40D20!1120.000!1135.000!!!!
S!VOUT!!VIA CLASS!!!!!!!!!!!!!VIA40D20!1250.000!1295.000!!!!
S!VOUT!!VIA CLASS!!!!!!!!!!!!!VIA40D20!1550.000!1295.000!!!!
S!VIN!!VIA CLASS!!!!!!!!!!!!!VIA40D20!885.000!990.000!!!!
S!VIN!!VIA CLASS!!!!!!!!!!!!!VIA40D20!590.000!990.000!!!!
S!VIN!!VIA CLASS!!!!!!!!!!!!!VIA40D20!250.000!890.000!!!!
S!VIN!!VIA CLASS!!!!!!!!!!!!!VIA40D20!250.000!1015.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!890.000!1135.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!890.000!1180.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!840.000!1180.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!845.000!1120.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!890.000!1090.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!740.000!1280.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!890.000!1280.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!840.000!1230.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!790.000!1230.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!840.000!1280.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!790.000!1280.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1650.000!2245.000!!!!
